Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Michael Ihiekwe,M. Ihiekwe,Blackpool,Central Defender,ENG - League One,2.0,41.5,40.7,32.5
Kiernan Dewsbury-Hall,K. Dewsbury-Hall,Everton,Midfield,ENG - Premier League,27.9,49.6,68.1,56.6
Jordan Clark,J. Clark,Luton Town,Midfield,ENG - League One,32.5,67.9,66.9,63.9
Charlie Goode,C. Goode,Stevenage FC,Central Defender,ENG - League One,72.9,91.2,59.1,30.7
Sam McCallum,S. McCallum,Sheffield United,Full Back,ENG - Championship,21.1,19.3,35.6,47.1
Callum O'Hare,C. O'Hare,Sheffield United,Midfield,ENG - Championship,42.3,39.7,85.8,92.6
Callum O'Hare,C. O'Hare,Sheffield United,Wide Attacker,ENG - Championship,1.9,22.0,74.2,96.8
Dominic Hyam,D. Hyam,Wrexham FC,Central Defender,ENG - Championship,64.5,30.5,18.6,25.0
Dominic Hyam,D. Hyam,Wrexham FC,Central Defender,ENG - Championship,6.0,39.2,29.1,61.4
Kyle McFadzean,K. McFadzean,Chesterfield FC,Central Defender,ENG - League Two,40.4,26.5,12.8,10.1
Kyle McFadzean,K. McFadzean,Chesterfield FC,Central Defender,ENG - League Two,35.6,61.0,28.1,20.4
Ben Sheaf,B. Sheaf,Wrexham FC,Midfield,ENG - Championship,20.3,51.6,34.8,65.8
Tyrhys Dolan,T. Dolan,RCD Espanyol,Wide Attacker,ESP - LaLiga,27.0,23.3,94.2,96.4
Joseph Hungbo,J. Hungbo,Wigan Athletic,Full Back,ENG - League One,1.8,30.0,44.4,72.5
Tennai Watson,T. Watson,Barnsley FC,Full Back,ENG - League One,30.5,40.0,29.0,45.5
Oluwafemi Javier Azeez,O. Azeez,Millwall FC,Wide Attacker,ENG - Championship,72.4,26.7,22.4,32.1
Jaidon Anthony,J. Anthony,Burnley,Wide Attacker,ENG - Premier League,56.6,57.7,60.6,78.6
Ousmane  Camara,O. Camara,Angers SCO,Central Defender,FRA - Ligue 1,11.7,20.5,51.2,57.7
Anton Stach,A. Stach,Leeds United,Midfield,ENG - Premier League,88.5,43.6,67.2,67.7
Amadou Mvom Onana,A. Onana,Aston Villa,Midfield,ENG - Premier League,90.0,55.8,34.5,29.2
Eric Martel,E. Martel,1. FC Köln,Central Defender,GER - Bundesliga,19.4,27.5,54.3,91.7
Nik Prelec,N. Prelec,Oxford United,Center Forward,ENG - Championship,62.4,77.3,35.9,37.1
Michael Ijemuan Folorunsho,M. Folorunsho,Cagliari,Midfield,ITA - Serie A,99.0,77.0,47.6,8.1
Jari Vandeputte,J. Vandeputte,US Cremonese,Midfield,ITA - Serie A,80.2,53.3,75.4,67.1
Andrea Cambiaso,A. Cambiaso,Juventus,Full Back,ITA - Serie A,20.8,45.1,84.4,95.8
Emanuele Valeri,E. Valeri,Parma,Full Back,ITA - Serie A,75.8,74.3,23.2,11.7
Nicolò Cambiaghi,N. Cambiaghi,Bologna,Wide Attacker,ITA - Serie A,63.4,70.9,66.9,27.8
Idrissa Touré,I. Touré,Pisa Sporting Club,Full Back,ITA - Serie A,63.2,66.8,89.6,85.3
Jan Paul van Hecke,J. van Hecke,Brighton and Hove Albion,Central Defender,ENG - Premier League,35.7,33.9,49.8,57.5
Million Manhoef,M. Manhoef,Stoke City,Wide Attacker,ENG - Championship,69.1,37.0,70.6,62.1
Arkadiusz Pyrka,A. Pyrka,FC St. Pauli,Full Back,GER - Bundesliga,70.3,61.0,80.5,57.9
Gonçalo Baptista Franco,Gonçalo Franco,Swansea City,Midfield,ENG - Championship,51.2,38.5,59.9,54.7
Gonçalo Baptista Franco,Gonçalo Franco,Swansea City,Midfield,ENG - Championship,40.2,27.2,79.8,80.0
Jack Fitzwater,J. Fitzwater,Exeter City FC,Central Defender,ENG - League One,12.4,32.0,46.1,84.9
Mitch Pinnock,M. Pinnock,Bromley FC,Wide Attacker,ENG - League Two,61.6,43.9,39.9,23.9
Mitch Pinnock,M. Pinnock,Bromley FC,Full Back,ENG - League Two,55.9,23.5,37.6,30.3
Kevin Michael Nisbet,K. Nisbet,Aberdeen,Center Forward,SCO - Premiership,40.4,32.7,12.4,25.2
Josh Doig,J. Doig,Sassuolo,Full Back,ITA - Serie A,92.9,54.2,94.0,84.5
Jamie Robson,J. Robson,Oldham Athletic AFC,Full Back,ENG - League Two,49.3,64.3,64.5,75.3
Louis Appéré,L. Appéré,Cambridge United,Center Forward,ENG - League Two,63.4,48.7,68.6,82.1
Joël Schmied,J. Schmied,1. FC Köln,Central Defender,GER - Bundesliga,60.3,41.5,62.1,65.5
Moritz Jenz,M. Jenz,VfL Wolfsburg,Central Defender,GER - Bundesliga,57.1,17.2,16.9,42.7
Albian Hajdari,A. Hajdari,TSG 1899 Hoffenheim,Central Defender,GER - Bundesliga,7.2,22.7,61.1,95.3
Bojan Radulović Samouković,B. Radulović,Huddersfield Town,Center Forward,ENG - League One,26.2,49.5,58.4,78.8
Brian Brobbey,B. Brobbey,Sunderland,Center Forward,ENG - Premier League,62.7,67.1,41.0,14.9
Lesley Chimuanya Ugochukwu,L. Ugochukwu,Burnley,Midfield,ENG - Premier League,59.1,64.0,13.4,40.3
Folarin Jerry Balogun,F. Balogun,AS Monaco,Center Forward,FRA - Ligue 1,79.4,83.3,57.5,26.7
Malo Gusto,M. Gusto,Chelsea,Full Back,ENG - Premier League,27.1,54.9,76.1,65.0
Giorgio  Scalvini,G. Scalvini,Atalanta,Central Defender,ITA - Serie A,2.1,37.0,49.6,96.4
Tomáš  Rigo,T. Rigo,Stoke City,Midfield,ENG - Championship,42.9,33.7,61.7,58.6
Ivan Azón Monzón,Ivan Azón,Ipswich Town,Center Forward,ENG - Championship,80.3,44.3,71.0,69.4
Saúl Basilio Coco-Bassey Oubiña,Saúl Coco,Torino,Central Defender,ITA - Serie A,66.6,75.2,79.3,56.8
Bali Mumba,B. Mumba,Plymouth Argyle,Wide Attacker,ENG - League One,54.7,30.7,30.0,36.5
Charlie Kelman,C. Kelman,Charlton Athletic,Center Forward,ENG - Championship,56.8,48.0,25.9,57.8
Danny Finlayson,D. Finlayson,Livingston FC,Full Back,SCO - Premiership,6.4,9.7,16.1,69.0
Danny Finlayson,D. Finlayson,Livingston FC,Central Defender,SCO - Premiership,39.8,46.8,35.3,89.5
Marcus Holmgren Pedersen ,M. Pedersen,Torino,Full Back,ITA - Serie A,99.2,76.0,66.7,92.9
Jack Taylor,J. Taylor,Ipswich Town,Midfield,ENG - Championship,67.7,51.3,30.0,36.0
Kristjan Asllani,K. Asllani,Torino,Midfield,ITA - Serie A,5.7,32.1,31.2,74.0
Aaron Pressley,A. Pressley,Walsall FC,Center Forward,ENG - League Two,31.6,59.9,68.7,94.0
Daniel Svensson,D. Svensson,Borussia Dortmund,Full Back,GER - Bundesliga,18.0,60.2,90.9,99.8
Carlos Álvarez Rivera,Carlos Álvarez,Levante UD,Wide Attacker,ESP - LaLiga,1.7,6.9,44.2,48.0
Jake Reeves,J. Reeves,AFC Wimbledon,Midfield,ENG - League One,6.4,28.0,46.8,59.8
Kyle Wootton,K. Wootton,Stockport County FC,Center Forward,ENG - League One,19.5,32.6,39.6,53.9
Elliott Anderson,E. Anderson,Nottingham Forest,Midfield,ENG - Premier League,50.9,47.1,67.5,56.1
Kevin Schade,K. Schade,Brentford FC,Wide Attacker,ENG - Premier League,98.3,94.3,31.2,16.8
Angelo Stiller,A. Stiller,VfB Stuttgart,Midfield,GER - Bundesliga,4.4,17.4,40.1,37.9
Iván Romero De Avila Araque,Iván Romero,Levante UD,Center Forward,ESP - LaLiga,44.8,53.1,62.5,84.1
Ben Nelson,B. Nelson,Leicester City,Central Defender,ENG - Championship,86.9,70.4,59.5,52.4
Sam Bell,S. Bell,Wycombe Wanderers,Wide Attacker,ENG - League One,66.2,30.3,52.6,78.7
Lorenzo Bernasconi,L. Bernasconi,Atalanta,Full Back,ITA - Serie A,96.1,71.9,52.4,50.8
Vítor Manuel Carvalho Oliveira,Vitinha,Genoa,Center Forward,ITA - Serie A,60.2,60.9,73.2,72.8
Bojan Miovski,B. Miovski,Rangers,Center Forward,SCO - Premiership,20.7,63.6,58.4,85.8
Jeriel Dorsett,J. Dorsett,Reading,Full Back,ENG - League One,15.9,13.3,12.4,14.8
Omar El Hilali,O. El Hilali,RCD Espanyol,Full Back,ESP - LaLiga,64.7,15.8,56.9,17.0
Nicholas Williams Arthuer,Nico Williams,Athletic Club de Bilbao,Wide Attacker,ESP - LaLiga,50.0,70.8,68.7,13.1
Stephen Duke-McKenna,S. Duke-McKenna,Harrogate Town FC,Wide Attacker,ENG - League Two,45.7,26.1,46.7,57.5
Jackson Tchatchoua,J. Tchatchoua,Wolverhampton Wanderers,Full Back,ENG - Premier League,99.9,93.6,69.3,68.8
Charlie Cresswell,C. Cresswell,Toulouse FC,Central Defender,FRA - Ligue 1,63.2,22.5,54.5,82.1
Nicolò Fagioli,N. Fagioli,Fiorentina,Midfield,ITA - Serie A,13.6,20.1,58.6,70.8
Kgaogelo Chauke,K. Chauke,Burton Albion,Midfield,ENG - League One,70.2,82.9,73.5,54.6
Marvin Pieringer,M. Pieringer,1. FC Heidenheim 1846,Center Forward,GER - Bundesliga,8.3,16.7,56.9,91.8
Moriba Kourouma Kourouma,Ilaix Moriba,RC Celta de Vigo,Midfield,ESP - LaLiga,30.1,37.6,84.3,56.6
Luca Connell,L. Connell,Barnsley FC,Midfield,ENG - League One,62.1,68.7,20.7,12.5
Yerson Mosquera Valdelamar,Y. Mosquera,Wolverhampton Wanderers,Central Defender,ENG - Premier League,99.7,84.1,68.6,38.0
Nigel Lonwijk,N. Lonwijk,Luton Town,Full Back,ENG - League One,55.8,35.7,14.9,6.9
Stephen Humphrys,S. Humphrys,Bradford City AFC,Center Forward,ENG - League One,80.4,58.7,25.8,14.3
Jake Beesley,J. Beesley,Burton Albion,Center Forward,ENG - League One,77.0,75.6,81.9,75.0
Ethan Craig Brierley,E. Brierley,Exeter City FC,Midfield,ENG - League One,40.4,62.7,78.4,78.0
Ethan Craig Brierley,E. Brierley,Exeter City FC,Midfield,ENG - League One,44.0,49.4,59.1,69.1
Harvey Rodgers,H. Rodgers,Grimsby Town FC,Full Back,ENG - League Two,59.1,50.9,44.0,36.6
Colby  Bishop,C. Bishop,Portsmouth,Center Forward,ENG - Championship,8.1,29.8,49.6,70.6
Cameron Burgess,C. Burgess,Swansea City,Central Defender,ENG - Championship,52.5,47.5,41.4,58.4
Séamus Conneely,S. Conneely,Accrington Stanley,Midfield,ENG - League Two,27.7,31.9,30.4,56.2
Dion Conroy,D. Conroy,Crawley Town FC,Central Defender,ENG - League Two,27.8,61.9,9.8,10.6
Jack Payne,J. Payne,Colchester United FC,Midfield,ENG - League Two,20.8,67.6,45.7,51.7
Rob Hunt,R. Hunt,Colchester United FC,Full Back,ENG - League Two,0.3,21.3,9.2,6.1
Sam Long,S. Long,Oxford United,Full Back,ENG - Championship,30.8,12.5,25.4,36.5
Josh Ruffels,J. Ruffels,Shrewsbury Town,Midfield,ENG - League Two,19.2,62.9,44.5,20.1
Mark Sykes,M. Sykes,Bristol City,Full Back,ENG - Championship,34.5,70.4,66.0,58.3
Koffi Franck Kouao,K. Kouao,FC Metz,Full Back,FRA - Ligue 1,75.0,77.2,40.3,5.5
Mamadou  Sangaré,M. Sangaré,RC Lens,Midfield,FRA - Ligue 1,24.4,37.1,80.8,66.3
Mark McKenzie,M. McKenzie,Toulouse FC,Central Defender,FRA - Ligue 1,51.3,43.4,58.9,92.0
Ben Whiteman,B. Whiteman,Preston North End,Midfield,ENG - Championship,24.0,50.1,53.6,58.6
Ched Evans,C. Evans,Fleetwood Town FC,Center Forward,ENG - League Two,8.7,22.8,34.1,14.1
Curtis Tilt,C. Tilt,Bradford City AFC,Central Defender,ENG - League One,86.6,55.0,32.5,16.6
Johan Felipe Vásquez Ibarra,J. Vásquez,Genoa,Central Defender,ITA - Serie A,33.0,77.0,93.2,93.2
Santiago Tomás Giménez,S. Giménez,Milan,Center Forward,ITA - Serie A,19.0,52.8,42.6,68.6
Joe Scally,J. Scally,Borussia Mönchengladbach,Full Back,GER - Bundesliga,18.6,28.8,67.2,90.9
Vicko Ševelj,V. Ševelj,Dundee United,Midfield,SCO - Premiership,3.0,27.3,7.6,9.3
Daniel Harvie,D. Harvie,Wycombe Wanderers,Full Back,ENG - League One,61.2,40.3,26.3,33.4
Jaze Kabia,J. Kabia,Grimsby Town FC,Center Forward,ENG - League Two,87.4,89.9,66.7,17.0
Perry Tian Hee Ng,P. Ng,Cardiff City,Full Back,ENG - League One,42.6,12.7,11.6,8.2
Antonio Blanco Conde,Antonio Blanco,Deportivo Alavés,Midfield,ESP - LaLiga,57.0,38.5,20.9,23.3
Sorba Thomas,S. Thomas,Stoke City,Wide Attacker,ENG - Championship,94.0,89.8,64.0,40.1
Robin Hranáč,R. Hranáč,TSG 1899 Hoffenheim,Central Defender,GER - Bundesliga,83.0,83.3,68.3,92.4
Hugo Bueno López,Hugo Bueno,Wolverhampton Wanderers,Full Back,ENG - Premier League,12.7,49.5,58.0,45.4
Rubin Colwill,R. Colwill,Cardiff City,Midfield,ENG - League One,75.1,49.6,61.8,57.6
Alfie Devine,A. Devine,Preston North End,Midfield,ENG - Championship,89.3,68.5,38.2,21.0
Iliman Cheikh Ndiaye,I. Ndiaye,Everton,Wide Attacker,ENG - Premier League,44.0,53.8,70.5,13.6
Ryan Finnigan,R. Finnigan,Walsall FC,Midfield,ENG - League Two,73.7,34.9,80.3,79.0
Mostafa Mohamed Ahmed Abdallah,Mostafa Mohamed,FC Nantes,Center Forward,FRA - Ligue 1,31.2,25.3,49.4,48.9
Vontae Daley-Campbell,V. Campbell,Chesterfield FC,Full Back,ENG - League Two,74.9,60.5,2.4,9.1
Owura Edwards,O. Edwards,Colchester United FC,Wide Attacker,ENG - League Two,82.4,72.7,60.7,44.9
Micky van de Ven,M. van de Ven,Tottenham Hotspur,Central Defender,ENG - Premier League,99.9,78.5,59.8,9.6
Camiel Neghli,C. Neghli,Millwall FC,Wide Attacker,ENG - Championship,37.9,22.3,84.4,94.7
Willian Joel Pacho Tenorio,W. Pacho,Paris Saint-Germain,Central Defender,FRA - Ligue 1,65.4,85.7,71.5,45.1
Marcelino Ignacio  Núñez Espinoza,M. Núñez,Ipswich Town,Midfield,ENG - Championship,38.6,74.1,96.3,96.6
Jamal Marcus Baptiste,J. Baptiste,Rotherham United,Central Defender,ENG - League One,92.9,58.0,49.8,26.3
Dilan Markanday,D. Markanday,Chesterfield FC,Wide Attacker,ENG - League Two,58.8,70.4,52.9,58.1
Arne Engels,A. Engels,Celtic FC,Midfield,SCO - Premiership,67.1,35.8,58.3,84.2
Vladyslav Vanat,V. Vanat,Girona FC,Center Forward,ESP - LaLiga,68.9,55.0,83.8,80.3
Tommy Conway,T. Conway,Middlesbrough,Center Forward,ENG - Championship,71.5,63.8,72.2,67.9
Alex Scott,A. Scott,Bournemouth,Midfield,ENG - Premier League,82.7,72.1,58.9,68.2
Alex Scott,A. Scott,Bournemouth,Midfield,ENG - Premier League,52.2,53.9,63.0,82.7
Ryan Astley,R. Astley,Dundee FC,Full Back,SCO - Premiership,0.6,30.8,4.0,35.5
Ryan Astley,R. Astley,Dundee FC,Central Defender,SCO - Premiership,5.8,21.8,33.5,81.7
Mateo Pellegrino Casalanguila,M. Pellegrino,Parma,Center Forward,ITA - Serie A,37.2,27.3,22.3,24.5
Kristoffer Lund Hansen,K. Lund,1. FC Köln,Full Back,GER - Bundesliga,61.5,57.4,67.5,80.3
Jaden Philogene-Bidace,J. Philogene,Ipswich Town,Wide Attacker,ENG - Championship,57.5,65.2,84.7,77.4
Félix Alexandre Andrade Sanches Correia,Félix Correia,LOSC Lille,Wide Attacker,FRA - Ligue 1,37.6,28.1,52.1,66.4
Tommaso Barbieri,T. Barbieri,US Cremonese,Full Back,ITA - Serie A,24.2,33.6,65.0,99.1
Joshua Guy Coburn,J. Coburn,Millwall FC,Center Forward,ENG - Championship,52.1,35.7,44.0,58.6
Regan Poole,R. Poole,Portsmouth,Central Defender,ENG - Championship,26.7,54.4,74.0,88.4
Regan Poole,R. Poole,Portsmouth,Central Defender,ENG - Championship,18.9,36.2,46.8,89.5
Cohen Bramall,C. Bramall,Luton Town,Wide Attacker,ENG - League One,100.0,90.1,31.8,27.1
Robbie Cundy,R. Cundy,Cheltenham Town,Central Defender,ENG - League Two,42.5,35.8,30.9,26.3
Jack Tucker,J. Tucker,Colchester United FC,Central Defender,ENG - League Two,62.8,60.8,30.8,7.1
Connor Ogilvie,C. Ogilvie,Portsmouth,Full Back,ENG - Championship,3.0,17.0,10.6,50.1
Thomas O'Connor,T. O'Connor,Peterborough United,Central Defender,ENG - League One,8.1,32.8,29.8,72.8
James Wilson,J. Wilson,Cheltenham Town,Central Defender,ENG - League Two,87.3,47.6,15.1,17.3
Harrison Holgate,H. Holgate,Fleetwood Town FC,Central Defender,ENG - League Two,16.9,24.1,27.3,52.4
Paddy Madden,P. Madden,Accrington Stanley,Center Forward,ENG - League Two,48.5,43.1,40.3,51.9
Jorge Grant,J. Grant,Salford City FC,Midfield,ENG - League Two,62.3,59.0,25.5,11.0
Matt Palmer,M. Palmer,Notts County FC,Midfield,ENG - League Two,6.0,27.0,65.5,44.0
Scott Twine,S. Twine,Bristol City,Midfield,ENG - Championship,31.7,47.6,92.4,53.8
Harry Anderson,H. Anderson,Colchester United FC,Wide Attacker,ENG - League Two,35.8,39.1,38.7,60.4
Adam Phillips,A. Phillips,Barnsley FC,Midfield,ENG - League One,56.2,41.6,17.4,7.1
Reece James,R. James,Rotherham United,Full Back,ENG - League One,3.3,24.2,58.6,75.0
Joe Wright,J. Wright,Bradford City AFC,Central Defender,ENG - League One,67.3,53.6,46.8,64.0
Tom Anderson,T. Anderson,Shrewsbury Town,Central Defender,ENG - League Two,2.5,37.1,13.3,18.2
Mario Gila Fuentes,Mario Gila,Lazio,Central Defender,ITA - Serie A,98.3,94.3,81.6,62.5
Giuliano Simeone Baldini,G. Simeone,Atlético Madrid,Wide Attacker,ESP - LaLiga,84.6,55.8,78.1,79.1
Mandela Keita,M. Keita,Parma,Midfield,ITA - Serie A,79.0,66.5,48.3,9.2
Mandela Keita,M. Keita,Parma,Midfield,ITA - Serie A,77.3,45.7,60.5,14.9
Lewie Coyle,L. Coyle,Hull City,Full Back,ENG - Championship,47.6,71.3,27.9,1.9
Jacob Greaves,J. Greaves,Ipswich Town,Central Defender,ENG - Championship,58.0,57.2,25.2,61.2
Regan Slater,R. Slater,Hull City,Midfield,ENG - Championship,23.0,25.4,54.5,34.0
Regan Slater,R. Slater,Hull City,Midfield,ENG - Championship,11.5,29.1,29.7,41.3
Joe Edwards,J. Edwards,Plymouth Argyle,Full Back,ENG - League One,1.3,16.5,31.7,65.9
William Stewart Aimson,W. Aimson,Wigan Athletic,Central Defender,ENG - League One,29.3,60.3,52.5,68.7
Lynden Gooch,L. Gooch,Huddersfield Town,Full Back,ENG - League One,22.2,66.6,35.9,42.3
Max Power,M. Power,Bradford City AFC,Midfield,ENG - League One,17.7,36.7,13.2,38.8
Max Power,M. Power,Bradford City AFC,Midfield,ENG - League One,5.9,46.1,14.8,23.6
Jack Diamond,J. Diamond,Stockport County FC,Midfield,ENG - League One,97.5,86.1,60.9,32.8
Rob Atkinson,R. Atkinson,Bristol City,Central Defender,ENG - Championship,14.3,43.7,43.9,50.5
Cameron Brannagan,C. Brannagan,Oxford United,Midfield,ENG - Championship,31.3,31.2,33.0,34.6
Isaac Price,I. Price,West Bromwich Albion,Midfield,ENG - Championship,89.2,47.9,92.6,85.2
Will Fish,W. Fish,Cardiff City,Central Defender,ENG - League One,44.0,67.1,25.8,63.8
Lewis Gordon,L. Gordon,Chesterfield FC,Full Back,ENG - League Two,21.7,35.2,25.4,11.6
Issahaku Abdul Fatawu,A. Fatawu,Leicester City,Wide Attacker,ENG - Championship,72.9,92.0,40.5,18.3
Maxime Estève,M. Estève,Burnley,Central Defender,ENG - Premier League,91.1,82.0,90.6,53.6
Jonathan Varane,J. Varane,Queens Park Rangers,Midfield,ENG - Championship,41.9,89.0,39.2,30.1
Arouna Sanganté,A. Sanganté,Le Havre AC,Central Defender,FRA - Ligue 1,61.4,77.3,91.2,42.1
Tarik Muharemović,T. Muharemović,Sassuolo,Central Defender,ITA - Serie A,60.7,54.5,79.9,41.0
Nathan Ngoy,N. Ngoy,LOSC Lille,Central Defender,FRA - Ligue 1,76.9,89.3,85.7,90.8
Roberto Fernández Jaén,Roberto Fernández,RCD Espanyol,Center Forward,ESP - LaLiga,85.7,83.0,70.4,74.2
Hákon Arnar Haraldsson,H. Haraldsson,LOSC Lille,Midfield,FRA - Ligue 1,79.6,74.1,93.3,88.8
Jon Mikel Aramburu Mejías,Jon Aramburu,Real Sociedad,Full Back,ESP - LaLiga,56.7,61.9,37.4,14.9
Castello  Lukeba,C. Lukeba,RB Leipzig,Central Defender,GER - Bundesliga,65.1,53.0,72.9,61.7
Daniel David Jebbison,D. Jebbison,Preston North End,Center Forward,ENG - Championship,90.6,69.0,72.9,67.2
Lewis Macari,L. Macari,Notts County FC,Central Defender,ENG - League Two,25.6,21.9,41.6,57.2
Liam Kitching,L. Kitching,Coventry City Football Club,Central Defender,ENG - Championship,86.8,72.0,75.2,66.6
Antoine Mendy,A. Mendy,OGC Nice,Central Defender,FRA - Ligue 1,55.6,74.0,79.7,35.1
Caleb Taylor,C. Taylor,Millwall FC,Central Defender,ENG - Championship,74.8,64.1,62.8,49.0
Nicolás Nahuel Valentini,N. Valentini,Hellas Verona,Central Defender,ITA - Serie A,37.1,27.1,53.3,12.1
Tawanda Jethro Maswanhise,T. Maswanhise,Motherwell,Wide Attacker,SCO - Premiership,54.5,66.2,26.9,5.7
Priestley Farquharson,P. Farquharson,Walsall FC,Central Defender,ENG - League Two,43.6,42.4,30.5,28.0
William Albert Evans,W. Evans,Mansfield Town FC,Center Forward,ENG - League One,48.1,39.3,54.8,65.8
Lucas Lopes Beraldo,Lucas Beraldo,Paris Saint-Germain,Central Defender,FRA - Ligue 1,76.9,31.6,47.5,22.9
Oluwafemi Seriki,F. Seriki,Sheffield United,Full Back,ENG - Championship,84.6,82.3,42.0,20.7
Mamadou Moustapha Mbow,M. Mbow,Paris FC,Central Defender,FRA - Ligue 1,77.1,90.3,78.1,41.7
Nicolò Bertola,N. Bertola,Udinese,Central Defender,ITA - Serie A,80.2,56.2,81.1,74.6
Sebastian Söraas Sebulonsen,S. Sebulonsen,1. FC Köln,Central Defender,GER - Bundesliga,93.7,60.5,57.6,97.2
Trai Hume,T. Hume,Sunderland,Full Back,ENG - Premier League,47.6,36.5,47.5,12.3
Dan Casey,D. Casey,Wycombe Wanderers,Central Defender,ENG - League One,72.7,69.6,22.2,34.5
Sergi Cardona Bermúdez,Sergi Cardona,Villarreal CF,Full Back,ESP - LaLiga,14.4,22.2,82.5,86.9
Macaulay Gillesphey,M. Gillesphey,Charlton Athletic,Central Defender,ENG - Championship,27.1,20.5,62.8,74.2
Cameron Devlin,C. Devlin,Heart of Midlothian,Midfield,SCO - Premiership,38.8,77.1,84.5,35.4
John Koutroumbis,J. Koutroumbis,Motherwell,Full Back,SCO - Premiership,59.7,63.6,49.8,61.1
 Apostolos  Stamatelopoulos,A. Stamatelopoulos,Motherwell,Center Forward,SCO - Premiership,43.8,30.3,63.4,88.9
Ronald Pereira Martins,Ronald,Swansea City,Wide Attacker,ENG - Championship,65.4,67.5,78.9,79.6
Adrián De La Fuente Barquilla,Adrián de la Fuente,Levante UD,Central Defender,ESP - LaLiga,24.1,27.5,20.8,6.7
Alejandro Balde Martínez,Alejandro Balde,FC Barcelona,Full Back,ESP - LaLiga,75.2,70.5,69.6,62.6
Nicolás González Iglesias,Nico González,Manchester City,Midfield,ENG - Premier League,8.7,31.1,25.6,73.7
Aune Selland Heggebø,A. Heggebø,West Bromwich Albion,Center Forward,ENG - Championship,26.9,57.9,74.4,86.1
José Manuel Arias Copete,José Copete,Valencia CF,Central Defender,ESP - LaLiga,73.2,71.0,71.7,18.2
Sebastian Tounekti,S. Tounekti,Celtic FC,Wide Attacker,SCO - Premiership,48.9,37.7,71.5,71.1
Thierry Mikael Gale,T. Gale,Bolton Wanderers,Wide Attacker,ENG - League One,89.6,82.1,15.8,33.1
Liam Scales,L. Scales,Celtic FC,Central Defender,SCO - Premiership,51.2,62.1,60.1,72.3
Milutin Osmajić,M. Osmajić,Preston North End,Center Forward,ENG - Championship,98.6,62.4,24.8,22.1
Valentín Barco,V. Barco,RC Strasbourg Alsace,Midfield,FRA - Ligue 1,60.3,29.4,52.0,68.1
Alassana Jatta,A. Jatta,Notts County FC,Center Forward,ENG - League Two,37.1,66.1,46.7,49.7
Toti António Gomes,Toti,Wolverhampton Wanderers,Central Defender,ENG - Premier League,53.2,46.8,51.3,42.4
Kilian Fischer,K. Fischer,VfL Wolfsburg,Full Back,GER - Bundesliga,42.2,48.2,56.1,93.8
Deniz Undav,D. Undav,VfB Stuttgart,Center Forward,GER - Bundesliga,3.9,1.1,28.0,45.3
Matthew Sorinola,M. Sorinola,Plymouth Argyle,Full Back,ENG - League One,24.8,38.3,22.7,39.8
Daouda Guindo,D. Guindo,Stade Brestois 29,Full Back,FRA - Ligue 1,35.1,20.8,51.8,18.4
Yannik Engelhardt,Y. Engelhardt,Borussia Mönchengladbach,Midfield,GER - Bundesliga,65.2,63.6,73.7,78.2
Jordy Makengo Basambundu,J. Makengo,SC Freiburg,Full Back,GER - Bundesliga,55.5,73.2,84.7,42.7
Aidomo Emakhu,A. Emakhu,Millwall FC,Wide Attacker,ENG - Championship,70.9,30.7,60.4,12.6
Alex Sean Pablo Robertson,A. Robertson,Cardiff City,Midfield,ENG - League One,2.1,32.0,67.4,89.8
Omar Haktab Traorè,O. Traorè,1. FC Heidenheim 1846,Full Back,GER - Bundesliga,55.8,44.9,56.4,35.2
Isak Malcolm Kwaku Hien,I. Hien,Atalanta,Central Defender,ITA - Serie A,84.6,36.1,75.5,37.2
Nathan Moriah-Welsh,N. Moriah-Welsh,Mansfield Town FC,Wide Attacker,ENG - League One,50.3,16.0,8.9,14.8
Brian De Keersmaecker,B. De Keersmaecker,Oxford United,Midfield,ENG - Championship,95.7,52.6,37.0,12.1
Josh Flint,J. Flint,Crawley Town FC,Central Defender,ENG - League Two,92.1,91.8,59.2,64.8
Mats Wieffer,M. Wieffer,Brighton and Hove Albion,Full Back,ENG - Premier League,61.7,28.9,89.2,84.1
George Dobson,G. Dobson,Wrexham FC,Midfield,ENG - Championship,59.9,80.3,26.3,19.1
Ayodeji Joshua Oluwapelumi Akinola Elerewe,D. Elerewe,Bromley FC,Central Defender,ENG - League Two,77.3,59.7,18.4,44.6
Callum Doyle,C. Doyle,Wrexham FC,Central Defender,ENG - Championship,57.8,47.3,62.0,66.8
Luke Leahy,L. Leahy,Wycombe Wanderers,Midfield,ENG - League One,10.7,29.7,21.7,55.6
Nathanael Ogbeta,N. Ogbeta,Barnsley FC,Full Back,ENG - League One,14.7,74.6,27.7,47.1
Omari Patrick,O. Patrick,Tranmere Rovers FC,Full Back,ENG - League Two,85.5,76.3,51.8,48.1
Tom Hamer,T. Hamer,Lincoln City FC,Central Defender,ENG - League One,44.3,95.1,59.8,55.1
Bryn Morris,B. Morris,Harrogate Town FC,Midfield,ENG - League Two,43.2,59.4,47.8,22.0
Frazer Blake-Tracy,F. Blake-Tracy,Mansfield Town FC,Central Defender,ENG - League One,8.8,38.7,65.3,43.2
Frazer Blake-Tracy,F. Blake-Tracy,Mansfield Town FC,Full Back,ENG - League One,50.9,32.7,24.6,35.7
Adam Randell,A. Randell,Bristol City,Midfield,ENG - Championship,69.8,58.0,55.3,18.1
